account,customer
74bcb6cecf3262d65e3b0d699d54a02c,61af663c-ed2e-4bcd-8c06-df90aa1c4023
ece1ff028280aebae9edfb7e036d5af2,e9d68f23-b489-4070-b914-f8a8bea4ff31
3933695939df3216249172b2c6627805,806a29ad-f6b2-4778-be50-8d4d293a60be
2101cdde2c259f7dd995b5d659a16fc4,440dd09f-c2e8-4fc2-b649-6cdefca54576
4992ed79597fd9cc8b610685c9c4fc4d,0722ab3c-18c3-4aa9-a013-5044a041301d
21717b663e9da9df0d34578fccb864eb,999413cc-ff99-47a8-88ad-b388287e4086
f1b3bb41fead03d356accdad43abb4af,3610901c-2196-43b5-bc21-109bba27bc64
7668aec7af9adc9a15bd4863e99631e4,dfe9a6ee-4300-4c97-80f3-beb154959740
1373b47f500ff75364938d4103585292,7f0223bc-651e-4252-b974-4cded259f960
e61f31e694e259275bae4aa504c70f68,92f72f86-3958-489b-9e05-4c8a28605c20
a8da4547b3106c79f0858f1d6472571e,780b8dc0-d9c0-447b-9f43-04e4fabdc4aa
0446387a16b74a073bf4842e84cc9991,1d181ee9-86ad-4a8c-abc4-123ebde13c1b
435cd05c235419368823693e08f0e71d,0986bbeb-f23e-423d-8b9b-d93423c86d30
0d4637d165405a6db04cb4f1208436a9,6319629b-d73e-4bb9-8f9c-a17b8db8dadf
e3d2089d57d3e91246db29d87e5d8003,c86aed73-3415-4076-801c-5617a2c3b917
37635886853b079f310a9038f5fc4b99,9a760ea9-b063-49a0-9393-daad0835075f
de42b08bc1f1ee820c3b884059591364,994e4303-b0cb-47f3-83ab-6793e30065bb
ad42f4ee3a67b37962ef97390f2f2d7f,13b8fad4-1ed7-4c8a-a0f1-963a0269b71b
b0852d850a34437b89cc973072ddb4bd,697c3923-87fa-441a-be83-b91f25440fe0
7bd2bd8d07bae3ed25690afba79cc4c5,a8f4c2dc-2bc1-4824-9dae-8912cf70ea88
071a7de93aa90ef6d714158692adab6c,372f5f47-999f-4691-b4e4-20bfdb38f306
6ea1035f6c3c8e3d4db3353be3aa3eff,140f9b24-fcc9-46c6-bc19-ef424cb9c5c6
0a556a1abc3cc3ec31ed93ce941e775d,59bdfac9-0d99-4ab9-9fc0-ccce4ba08508
be22a88f0495835b232d2f97a41fed64,14c62aba-89c2-4ba5-a48d-f4c0c330ec14
7fa873486e8276e1ddc40987031ea513,63e31ac9-d271-42f1-8a70-7ba8df9a09f5
7625b26d6da8f844c1b0fa6c058abd86,6bda623f-aca9-44d8-8381-863cfb0cd85d
86f7263c38a28b29403b7035f28b0878,362465c1-0dd8-463b-b6a2-bf6979315fc6
14ca3690c0eb4897c9e9820f1281c3fb,b253d218-6c4a-47ea-8906-17f2747b6dba
99f2c97d2e7a5359611bb102b487c565,4a9ff50e-8800-41b6-b3f6-21a826330c43
38056a07073502066e6bf48fa8a05f77,4ce33ed4-9779-4ead-b3bc-daee0d211dc4
91bc76f16533f69b3741885f928125e9,9c83cfae-1050-4d65-b897-3d1553199080
99586899f3a52fd94a8250b46ba9e22a,2540647b-784f-4b14-b2d3-1a6527dea64c
7d0266705d6156aa069b43548f5c8ab8,84222f58-f022-44af-bb76-4637d277ab64
1e2f2daa1fedc359648f834e36427f5f,bd5a6112-d1b2-4e3c-aede-2487373058be
30f83b5b132188c16fef30eb8185e2fd,ce9205ae-cdb5-482a-a78b-941fdcca9a71
96966c2d697637b52cc537b4d676b9ba,2240063b-fed7-47be-afd0-d2f7e3524444
92214fb4020f6ba7613517c51a62c602,d2eaef18-4b67-47a1-966e-cfe36d779595
833d9e242b75aeb37e6b413e6bd52158,8c1046bf-24b3-4794-a93d-b7fa8e8ded45
50f0cfabcb90b04eb6f13ad879766f4e,9194821e-e11b-40d4-8637-9f04d9ee7dc9
